,matrikel_num,Studienjahr,geschlecht,avgECTS_sem_before,ects_year_before,year,first_exam_negative,AHS_dummy,BHS_dummy,ausland_vorbildung_dummy,sonstige_vorbildung_dummy,delayed_dummy,num_parallel_studies,jus_dummy,bwl_dummy,years_since_matura,styria_dummy,not_styria_dummy,germany_dummy,other_foreign_dummy,years_since_18,planned_duration,full_duration_sem,full_duration_sem_before,firstGen,cum_ects_pos_before,status_key,ECTS_year,SWS_year,active_dummy,subject
6705,1618769,2.0,0,30.5,61.0,17,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,0,0,2.0,6,4.0,2.0,1.0,61.0,I,36.0,20.5,1,Padagogik
6706,1618769,3.0,0,24.25,36.0,18,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,0,0,2.0,6,6.0,4.0,1.0,97.0,I,42.0,24.0,1,Padagogik
6707,1618769,4.0,0,27.8,42.0,19,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,0,0,2.0,6,7.70137,5.0,1.0,139.0,X,36.0,14.0,1,Padagogik
1839,1618780,1.0,0,0.0,,16,0.0,0,1,0,0,0,1,0.0,0.0,1.0,1,0,0,0,2.0,6,2.0,0.0,1.0,0.0,I,16.0,9.0,1,Padagogik
6709,1618780,2.0,0,8.0,16.0,17,0.0,0,1,0,0,0,1,0.0,0.0,1.0,1,0,0,0,2.0,6,4.0,2.0,1.0,16.0,I,18.0,10.0,1,Padagogik
6710,1618780,3.0,0,8.5,18.0,18,0.0,0,1,0,0,0,1,0.0,0.0,1.0,1,0,0,0,2.0,6,6.0,4.0,1.0,34.0,I,33.0,17.0,1,Padagogik
6711,1618780,4.0,0,11.166666666666666,33.0,19,0.0,0,1,0,0,0,1,0.0,0.0,1.0,1,0,0,0,2.0,6,8.0,6.0,1.0,67.0,I,27.0,8.0,1,Padagogik
1842,1619812,1.0,0,0.0,,16,0.0,1,0,0,0,0,2,0.0,0.0,1.0,1,0,0,0,3.0,6,2.0,0.0,1.0,0.0,I,34.0,19.0,1,Padagogik
6713,1619812,2.0,0,17.0,34.0,17,0.0,1,0,0,0,0,2,0.0,0.0,1.0,1,0,0,0,3.0,6,4.0,2.0,1.0,34.0,I,65.0,29.0,1,Padagogik
6714,1619812,3.0,0,24.75,65.0,18,0.0,1,0,0,0,0,2,0.0,0.0,1.0,1,0,0,0,3.0,6,6.0,4.0,1.0,99.0,I,36.0,19.0,1,Padagogik
6715,1619812,4.0,0,22.5,36.0,19,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,3.0,6,8.0,6.0,1.0,135.0,X,11.0,7.0,1,Padagogik
